Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
guides/qute-reference.adoc.po, 760, 785, 11431, 11689, 3%
guides/native-reference.adoc.po, 307, 310, 9021, 9028, 1%
guides/security-oidc-code-flow-authentication.adoc.po, 326, 335, 7947, 7973, 1%
guides/resteasy-reactive.adoc.po, 464, 474, 7041, 7057, 1%
guides/deploying-to-kubernetes.adoc.po, 348, 357, 5856, 5893, 1%
guides/maven-tooling.adoc.po, 263, 273, 5355, 5381, 1%
guides/security-oidc-auth0-tutorial.adoc.po, 190, 199, 5131, 5155, 1%
guides/getting-started-testing.adoc.po, 227, 236, 5067, 5114, 1%
guides/cdi-reference.adoc.po, 225, 232, 4175, 4226, 2%
guides/security-jwt.adoc.po, 281, 307, 4097, 4225, 4%
guides/hibernate-search-orm-elasticsearch.adoc.po, 223, 252, 3917, 4115, 5%
guides/pulsar.adoc.po, 198, 237, 3868, 4228, 9%
guides/datasource.adoc.po, 329, 336, 3777, 3878, 3%
guides/mongodb-panache.adoc.po, 184, 199, 3724, 3814, 3%
guides/config-reference.adoc.po, 216, 219, 3666, 3670, 1%
guides/security-oidc-bearer-token-authentication.adoc.po, 166, 175, 3647, 3680, 1%
guides/gradle-tooling.adoc.po, 168, 176, 3427, 3446, 1%
guides/cassandra.adoc.po, 157, 167, 3249, 3323, 3%
guides/building-my-first-extension.adoc.po, 165, 176, 3164, 3237, 3%
guides/security-openid-connect-client-reference.adoc.po, 150, 156, 3134, 3152, 1%
guides/vertx-reference.adoc.po, 236, 243, 3134, 3172, 2%
guides/redis-reference.adoc.po, 204, 210, 3012, 3091, 3%
guides/security-openid-connect-providers.adoc.po, 151, 156, 2966, 2980, 1%
guides/hibernate-reactive-panache.adoc.po, 142, 152, 2953, 3010, 2%
guides/security-openid-connect-dev-services.adoc.po, 107, 112, 2953, 2970, 1%
guides/logging.adoc.po, 296, 304, 2927, 2963, 2%
guides/infinispan-client-reference.adoc.po, 176, 185, 2850, 2906, 2%
guides/security-authorize-web-endpoints-reference.adoc.po, 159, 166, 2839, 2861, 1%
guides/http-reference.adoc.po, 239, 246, 2810, 2821, 1%
guides/dev-ui.adoc.po, 215, 219, 2744, 2748, 1%
guides/hibernate-orm-panache.adoc.po, 138, 149, 2682, 2798, 5%
guides/cache.adoc.po, 139, 162, 2672, 3011, 12%
guides/resteasy.adoc.po, 133, 154, 2572, 2728, 6%
guides/kafka-streams.adoc.po, 119, 132, 2443, 2561, 5%
guides/writing-native-applications-tips.adoc.po, 106, 106, 2390, 2390, 0%
guides/telemetry-micrometer.adoc.po, 185, 198, 2359, 2494, 6%
guides/smallrye-graphql.adoc.po, 165, 178, 2342, 2444, 5%
guides/security-authentication-mechanisms.adoc.po, 154, 166, 2303, 2345, 2%
guides/doc-reference.adoc.po, 264, 293, 2272, 2304, 2%
guides/cdi.adoc.po, 127, 130, 2232, 2236, 1%
guides/rabbitmq-reference.adoc.po, 233, 251, 2229, 2419, 8%
guides/security-openid-connect-multitenancy.adoc.po, 124, 136, 2227, 2263, 2%
guides/reactive-routes.adoc.po, 156, 165, 2187, 2217, 2%
guides/amqp-reference.adoc.po, 185, 225, 2090, 2762, 25%
guides/doc-contribute-docs-howto.adoc.po, 140, 142, 2037, 2039, 1%
guides/security-webauthn.adoc.po, 88, 110, 2005, 2151, 7%
guides/security-keycloak-authorization.adoc.po, 101, 115, 1955, 2024, 4%
guides/jreleaser.adoc.po, 60, 63, 1948, 1954, 1%
guides/software-transactional-memory.adoc.po, 40, 45, 1935, 1958, 2%
guides/mutiny-primer.adoc.po, 125, 125, 1919, 1919, 0%
guides/deploying-to-openshift.adoc.po, 137, 143, 1897, 1906, 1%
guides/reactive-sql-clients.adoc.po, 159, 167, 1812, 1883, 4%
guides/scheduler-reference.adoc.po, 94, 98, 1808, 1841, 2%
guides/transaction.adoc.po, 50, 102, 1789, 2355, 25%
guides/extension-codestart.adoc.po, 132, 137, 1752, 1758, 1%
guides/opentelemetry.adoc.po, 134, 156, 1723, 1839, 7%
guides/validation.adoc.po, 99, 116, 1694, 1821, 7%
guides/security-jwt-build.adoc.po, 107, 115, 1656, 1669, 1%
guides/quarkus-reactive-architecture.adoc.po, 64, 66, 1654, 1658, 1%
guides/rest-data-panache.adoc.po, 104, 109, 1606, 1612, 1%
guides/gcp-functions.adoc.po, 90, 96, 1599, 1635, 3%
guides/smallrye-health.adoc.po, 80, 95, 1574, 1678, 7%
guides/kafka-schema-registry-avro.adoc.po, 78, 91, 1572, 1652, 5%
guides/smallrye-fault-tolerance.adoc.po, 72, 84, 1557, 1629, 5%
guides/duplicated-context.adoc.po, 72, 74, 1537, 1539, 1%
guides/funqy-knative-events.adoc.po, 64, 68, 1497, 1512, 1%
guides/vertx.adoc.po, 90, 102, 1453, 1514, 5%
guides/class-loading-reference.adoc.po, 62, 64, 1436, 1440, 1%
guides/mailer-reference.adoc.po, 92, 98, 1433, 1470, 3%
guides/rest-json.adoc.po, 76, 101, 1424, 1615, 12%
guides/deploying-to-google-cloud.adoc.po, 85, 88, 1414, 1420, 1%
guides/kotlin.adoc.po, 79, 89, 1395, 1425, 3%
guides/security-customization.adoc.po, 71, 77, 1382, 1393, 1%
guides/databases-dev-services.adoc.po, 78, 79, 1371, 1373, 1%
guides/container-image.adoc.po, 69, 76, 1370, 1462, 7%
guides/security-openid-connect-client.adoc.po, 82, 95, 1329, 1390, 5%
guides/platform.adoc.po, 52, 52, 1321, 1321, 0%
guides/performance-measure.adoc.po, 78, 82, 1297, 1304, 1%
