Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/pt_BR/_guides/qute-reference.adoc.po, 764, 788, 11741, 11993, 3%
l10n/po/pt_BR/_guides/native-reference.adoc.po, 308, 310, 9077, 9081, 1%
l10n/po/pt_BR/_guides/security-oidc-code-flow-authentication.adoc.po, 325, 334, 8253, 8284, 1%
l10n/po/pt_BR/_guides/rest.adoc.po, 462, 471, 7509, 7525, 1%
l10n/po/pt_BR/_guides/resteasy-reactive.adoc.po, 452, 461, 7229, 7245, 1%
l10n/po/pt_BR/_guides/deploying-to-kubernetes.adoc.po, 348, 357, 6106, 6136, 1%
l10n/po/pt_BR/_guides/hibernate-orm.adoc.po, 285, 294, 5559, 5627, 2%
l10n/po/pt_BR/_guides/getting-started-testing.adoc.po, 231, 241, 5441, 5489, 1%
l10n/po/pt_BR/_guides/maven-tooling.adoc.po, 263, 272, 5391, 5413, 1%
l10n/po/pt_BR/_guides/security-oidc-auth0-tutorial.adoc.po, 190, 199, 5182, 5210, 1%
l10n/po/pt_BR/_guides/hibernate-search-orm-elasticsearch.adoc.po, 270, 286, 4579, 4677, 3%
l10n/po/pt_BR/_guides/security-jwt.adoc.po, 286, 307, 4531, 4621, 2%
l10n/po/pt_BR/_guides/cdi-reference.adoc.po, 225, 232, 4319, 4362, 1%
l10n/po/pt_BR/_guides/config-reference.adoc.po, 227, 230, 4099, 4104, 1%
l10n/po/pt_BR/_guides/pulsar.adoc.po, 199, 237, 4034, 4402, 9%
l10n/po/pt_BR/_guides/security-oidc-bearer-token-authentication.adoc.po, 166, 175, 3840, 3879, 2%
l10n/po/pt_BR/_guides/mongodb-panache.adoc.po, 190, 200, 3809, 3873, 2%
l10n/po/pt_BR/_guides/security-openid-connect-client-reference.adoc.po, 167, 174, 3614, 3655, 2%
l10n/po/pt_BR/_guides/datasource.adoc.po, 315, 318, 3539, 3561, 1%
l10n/po/pt_BR/_guides/gradle-tooling.adoc.po, 169, 176, 3466, 3481, 1%
l10n/po/pt_BR/_guides/cassandra.adoc.po, 162, 167, 3379, 3411, 1%
l10n/po/pt_BR/_guides/redis-reference.adoc.po, 214, 218, 3358, 3395, 2%
l10n/po/pt_BR/_guides/vertx-reference.adoc.po, 236, 243, 3276, 3307, 1%
l10n/po/pt_BR/_guides/building-my-first-extension.adoc.po, 165, 176, 3267, 3342, 3%
l10n/po/pt_BR/_guides/infinispan-client-reference.adoc.po, 203, 210, 3247, 3280, 2%
l10n/po/pt_BR/_guides/logging.adoc.po, 298, 304, 3123, 3150, 1%
l10n/po/pt_BR/_guides/security-openid-connect-providers.adoc.po, 152, 156, 3092, 3107, 1%
l10n/po/pt_BR/_guides/security-openid-connect-dev-services.adoc.po, 107, 112, 3075, 3095, 1%
l10n/po/pt_BR/_guides/http-reference.adoc.po, 255, 261, 3031, 3042, 1%
l10n/po/pt_BR/_guides/hibernate-reactive-panache.adoc.po, 145, 154, 3002, 3054, 2%
l10n/po/pt_BR/_guides/cache.adoc.po, 154, 162, 2989, 3046, 2%
l10n/po/pt_BR/_guides/security-authorize-web-endpoints-reference.adoc.po, 161, 168, 2970, 2996, 1%
l10n/po/pt_BR/_guides/dev-ui-v2.adoc.po, 224, 347, 2848, 4265, 34%
l10n/po/pt_BR/_guides/dev-ui.adoc.po, 215, 219, 2799, 2811, 1%
l10n/po/pt_BR/_guides/resteasy.adoc.po, 144, 154, 2798, 2846, 2%
l10n/po/pt_BR/_guides/hibernate-orm-panache.adoc.po, 142, 151, 2763, 2827, 3%
l10n/po/pt_BR/_guides/security-openid-connect-multitenancy.adoc.po, 135, 145, 2520, 2553, 2%
l10n/po/pt_BR/_guides/kafka-streams.adoc.po, 119, 132, 2497, 2609, 5%
l10n/po/pt_BR/_guides/security-authentication-mechanisms.adoc.po, 158, 170, 2469, 2520, 3%
l10n/po/pt_BR/_guides/telemetry-micrometer.adoc.po, 185, 198, 2455, 2584, 5%
l10n/po/pt_BR/_guides/websockets-next-reference.adoc.po, 138, 141, 2421, 2445, 1%
l10n/po/pt_BR/_guides/smallrye-graphql.adoc.po, 165, 178, 2364, 2459, 4%
l10n/po/pt_BR/_guides/reactive-routes.adoc.po, 156, 165, 2307, 2354, 2%
l10n/po/pt_BR/_guides/writing-native-applications-tips.adoc.po, 98, 98, 2289, 2289, 0%
l10n/po/pt_BR/_guides/cdi.adoc.po, 128, 130, 2287, 2290, 1%
l10n/po/pt_BR/_guides/doc-reference.adoc.po, 264, 293, 2283, 2315, 2%
l10n/po/pt_BR/_guides/rabbitmq-reference.adoc.po, 234, 250, 2272, 2456, 8%
l10n/po/pt_BR/_guides/virtual-threads.adoc.po, 68, 143, 2242, 2991, 26%
l10n/po/pt_BR/_guides/optaplanner.adoc.po, 122, 241, 2203, 4077, 46%
l10n/po/pt_BR/_guides/amqp-reference.adoc.po, 185, 225, 2141, 2824, 25%
l10n/po/pt_BR/_guides/doc-contribute-docs-howto.adoc.po, 140, 142, 2106, 2108, 1%
l10n/po/pt_BR/_guides/scheduler-reference.adoc.po, 113, 117, 2091, 2116, 2%
l10n/po/pt_BR/_guides/mongodb.adoc.po, 101, 117, 2038, 2136, 5%
l10n/po/pt_BR/_guides/deploying-to-openshift.adoc.po, 137, 143, 2031, 2042, 1%
l10n/po/pt_BR/_guides/security-keycloak-authorization.adoc.po, 102, 115, 2026, 2095, 4%
l10n/po/pt_BR/_guides/jreleaser.adoc.po, 60, 63, 1983, 1989, 1%
l10n/po/pt_BR/_guides/security-webauthn.adoc.po, 85, 104, 1972, 2092, 6%
l10n/po/pt_BR/_guides/mutiny-primer.adoc.po, 125, 125, 1963, 1963, 0%
l10n/po/pt_BR/_guides/opentelemetry.adoc.po, 142, 160, 1961, 2037, 4%
l10n/po/pt_BR/_guides/software-transactional-memory.adoc.po, 40, 44, 1950, 1959, 1%
l10n/po/pt_BR/_guides/reactive-sql-clients.adoc.po, 160, 167, 1872, 1907, 2%
l10n/po/pt_BR/_guides/security-jwt-build.adoc.po, 107, 115, 1863, 1880, 1%
l10n/po/pt_BR/_guides/extension-codestart.adoc.po, 132, 137, 1826, 1832, 1%
l10n/po/pt_BR/_guides/transaction.adoc.po, 50, 102, 1806, 2387, 25%
l10n/po/pt_BR/_guides/validation.adoc.po, 102, 116, 1778, 1877, 6%
l10n/po/pt_BR/_guides/security-openid-connect-client.adoc.po, 103, 114, 1741, 1800, 4%
l10n/po/pt_BR/_guides/aws-lambda-http.adoc.po, 47, 110, 1680, 2185, 24%
l10n/po/pt_BR/_guides/gcp-functions.adoc.po, 90, 95, 1669, 1689, 2%
l10n/po/pt_BR/_guides/quarkus-reactive-architecture.adoc.po, 64, 66, 1660, 1664, 1%
l10n/po/pt_BR/_guides/rest-client.adoc.po, 77, 288, 1651, 5191, 69%
l10n/po/pt_BR/_guides/kafka-schema-registry-avro.adoc.po, 78, 91, 1637, 1719, 5%
l10n/po/pt_BR/_guides/smallrye-health.adoc.po, 80, 95, 1621, 1718, 6%
l10n/po/pt_BR/_guides/rest-data-panache.adoc.po, 106, 109, 1616, 1621, 1%
l10n/po/pt_BR/_guides/rest-json.adoc.po, 89, 101, 1616, 1682, 4%
l10n/po/pt_BR/_guides/duplicated-context.adoc.po, 72, 74, 1588, 1590, 1%
l10n/po/pt_BR/_guides/smallrye-fault-tolerance.adoc.po, 72, 84, 1575, 1649, 5%
l10n/po/pt_BR/_guides/security-customization.adoc.po, 72, 78, 1557, 1573, 2%
l10n/po/pt_BR/_guides/funqy-knative-events.adoc.po, 64, 68, 1548, 1563, 1%
l10n/po/pt_BR/_guides/mailer-reference.adoc.po, 93, 99, 1530, 1558, 2%
l10n/po/pt_BR/_guides/vertx.adoc.po, 91, 102, 1488, 1550, 4%
l10n/po/pt_BR/_guides/class-loading-reference.adoc.po, 62, 64, 1452, 1456, 1%
l10n/po/pt_BR/_guides/deploying-to-google-cloud.adoc.po, 85, 88, 1448, 1454, 1%
l10n/po/pt_BR/_guides/kotlin.adoc.po, 81, 89, 1440, 1462, 2%
l10n/po/pt_BR/_guides/container-image.adoc.po, 71, 76, 1424, 1479, 4%
l10n/po/pt_BR/_guides/databases-dev-services.adoc.po, 78, 79, 1394, 1396, 1%
l10n/po/pt_BR/_guides/openapi-swaggerui.adoc.po, 91, 105, 1394, 1468, 6%
l10n/po/pt_BR/_guides/extension-registry-user.adoc.po, 64, 65, 1388, 1391, 1%
l10n/po/pt_BR/_guides/kafka.adoc.po, 48, 606, 1382, 12137, 89%
l10n/po/pt_BR/_guides/smallrye-graphql-client.adoc.po, 48, 60, 1374, 1450, 6%
l10n/po/pt_BR/_guides/platform.adoc.po, 52, 52, 1342, 1342, 0%
l10n/po/pt_BR/_guides/telemetry-opentracing-to-otel-tutorial.adoc.po, 113, 118, 1333, 1340, 1%
l10n/po/pt_BR/_guides/funqy-gcp-functions.adoc.po, 71, 79, 1315, 1349, 3%
l10n/po/pt_BR/_guides/rest-migration.adoc.po, 97, 97, 1314, 1314, 0%
l10n/po/pt_BR/_guides/performance-measure.adoc.po, 78, 82, 1309, 1316, 1%
l10n/po/pt_BR/_guides/doc-create-tutorial.adoc.po, 94, 96, 1307, 1311, 1%
l10n/po/pt_BR/_guides/stork-kubernetes.adoc.po, 67, 76, 1293, 1320, 3%
l10n/po/pt_BR/_guides/kafka-schema-registry-json-schema.adoc.po, 62, 74, 1289, 1363, 6%
l10n/po/pt_BR/_guides/getting-started-dev-services.adoc.po, 79, 87, 1288, 1333, 4%
l10n/po/pt_BR/_guides/resteasy-reactive-migration.adoc.po, 95, 95, 1278, 1278, 0%
l10n/po/pt_BR/_guides/native-and-ssl.adoc.po, 90, 95, 1267, 1316, 4%
l10n/po/pt_BR/_guides/writing-extensions.adoc.po, 39, 609, 1246, 12588, 91%
l10n/po/pt_BR/_guides/elasticsearch.adoc.po, 70, 80, 1183, 1234, 5%
l10n/po/pt_BR/_guides/security-oidc-bearer-token-authentication-tutorial.adoc.po, 72, 92, 1175, 1231, 5%
