Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/pt_BR/_versions/main/guides/qute-reference.adoc.po, 842, 868, 13167, 13423, 2%
l10n/po/pt_BR/_versions/main/guides/security-oidc-expanded-configuration.adoc.po, 681, 687, 12222, 12233, 1%
l10n/po/pt_BR/_versions/main/guides/native-reference.adoc.po, 348, 350, 10330, 10334, 1%
l10n/po/pt_BR/_versions/main/guides/security-oidc-code-flow-authentication.adoc.po, 406, 415, 10006, 10037, 1%
l10n/po/pt_BR/_versions/main/guides/rest.adoc.po, 492, 502, 8232, 8250, 1%
l10n/po/pt_BR/_versions/main/guides/resteasy-reactive.adoc.po, 459, 468, 7442, 7458, 1%
l10n/po/pt_BR/_versions/main/guides/hibernate-orm.adoc.po, 352, 362, 6872, 6943, 2%
l10n/po/pt_BR/_versions/main/guides/deploying-to-kubernetes.adoc.po, 361, 370, 6263, 6293, 1%
l10n/po/pt_BR/_versions/main/guides/tls-registry-reference.adoc.po, 337, 340, 6087, 6115, 1%
l10n/po/pt_BR/_versions/main/guides/cdi-reference.adoc.po, 299, 306, 6012, 6055, 1%
l10n/po/pt_BR/_versions/main/guides/websockets-next-reference.adoc.po, 301, 306, 5938, 5965, 1%
l10n/po/pt_BR/_versions/main/guides/maven-tooling.adoc.po, 273, 283, 5673, 5715, 1%
l10n/po/pt_BR/_versions/main/guides/security-oidc-bearer-token-authentication.adoc.po, 236, 245, 5209, 5248, 1%
l10n/po/pt_BR/_versions/main/guides/security-oidc-auth0-tutorial.adoc.po, 190, 199, 5185, 5213, 1%
l10n/po/pt_BR/_versions/main/guides/getting-started-testing.adoc.po, 226, 234, 5089, 5135, 1%
l10n/po/pt_BR/_versions/main/guides/security-jwt.adoc.po, 322, 343, 4783, 4841, 2%
l10n/po/pt_BR/_versions/main/guides/hibernate-search-orm-elasticsearch.adoc.po, 270, 286, 4609, 4707, 3%
l10n/po/pt_BR/_versions/main/guides/datasource.adoc.po, 349, 353, 4257, 4280, 1%
l10n/po/pt_BR/_versions/main/guides/config-reference.adoc.po, 227, 231, 4082, 4107, 1%
l10n/po/pt_BR/_versions/main/guides/pulsar.adoc.po, 201, 240, 4048, 4444, 9%
l10n/po/pt_BR/_versions/main/guides/security-authorize-web-endpoints-reference.adoc.po, 208, 215, 3925, 3951, 1%
l10n/po/pt_BR/_versions/main/guides/hibernate-search-standalone-elasticsearch.adoc.po, 231, 248, 3909, 4008, 3%
l10n/po/pt_BR/_versions/main/guides/security-openid-connect-client-reference.adoc.po, 183, 190, 3908, 3949, 2%
l10n/po/pt_BR/_versions/main/guides/mongodb-panache.adoc.po, 190, 201, 3851, 3918, 2%
l10n/po/pt_BR/_versions/main/guides/messaging.adoc.po, 188, 206, 3707, 3848, 4%
l10n/po/pt_BR/_versions/main/guides/redis-reference.adoc.po, 226, 230, 3695, 3732, 1%
l10n/po/pt_BR/_versions/main/guides/gradle-tooling.adoc.po, 200, 208, 3687, 3722, 1%
l10n/po/pt_BR/_versions/main/guides/security-authentication-mechanisms.adoc.po, 212, 224, 3483, 3534, 2%
l10n/po/pt_BR/_versions/main/guides/vertx-reference.adoc.po, 251, 258, 3403, 3434, 1%
l10n/po/pt_BR/_versions/main/guides/cassandra.adoc.po, 162, 167, 3379, 3411, 1%
l10n/po/pt_BR/_versions/main/guides/logging.adoc.po, 313, 319, 3307, 3334, 1%
l10n/po/pt_BR/_versions/main/guides/http-reference.adoc.po, 269, 275, 3289, 3300, 1%
l10n/po/pt_BR/_versions/main/guides/building-my-first-extension.adoc.po, 165, 176, 3284, 3359, 3%
l10n/po/pt_BR/_versions/main/guides/security-openid-connect-multitenancy.adoc.po, 173, 184, 3225, 3261, 2%
l10n/po/pt_BR/_versions/main/guides/security-openid-connect-providers.adoc.po, 156, 160, 3194, 3209, 1%
