Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/pt_BR/_data/wg.yaml.po, 246, 246, 13508, 13508, 0%
l10n/po/pt_BR/_data/versioned/3-34/index/quarkus.yaml.po, 1581, 1581, 6177, 6177, 0%
l10n/po/pt_BR/_data/versioned/main/index/quarkus.yaml.po, 782, 1634, 4013, 6368, 37%
l10n/po/pt_BR/_data/versioned/latest/index/quarkus.yaml.po, 747, 1602, 3870, 6257, 39%
l10n/po/pt_BR/_data/versioned/3-33/index/quarkus.yaml.po, 726, 1581, 3789, 6176, 39%
l10n/po/pt_BR/_data/versioned/3-27/index/quarkus.yaml.po, 703, 1563, 3695, 6099, 40%
l10n/po/pt_BR/_data/versioned/3-20/index/quarkus.yaml.po, 683, 1537, 3619, 6016, 40%
l10n/po/pt_BR/_data/insights-videos.yaml.po, 911, 962, 3490, 3595, 3%
l10n/po/pt_BR/_data/versioned/3-15/index/quarkus.yaml.po, 648, 1478, 3402, 5845, 42%
l10n/po/pt_BR/_data/versioned/3-8/index/quarkus.yaml.po, 555, 1341, 2854, 5359, 47%
l10n/po/pt_BR/_data/versioned/3-6/index/quarkus.yaml.po, 541, 1329, 2735, 5304, 49%
l10n/po/pt_BR/_data/versioned/3-2/index/quarkus.yaml.po, 215, 970, 2161, 4722, 55%
l10n/po/pt_BR/_data/versioned/2-16/index/quarkus.yaml.po, 168, 882, 1591, 4382, 64%
l10n/po/pt_BR/_data/versioned/3-34/index/relations.yaml.po, 515, 515, 1404, 1404, 0%
l10n/po/pt_BR/_data/events.yaml.po, 128, 128, 920, 920, 0%
l10n/po/pt_BR/_data/books.yaml.po, 85, 87, 904, 908, 1%
l10n/po/pt_BR/_data/extensions.yaml.po, 386, 416, 860, 896, 5%
l10n/po/pt_BR/_data/versioned/main/index/relations.yaml.po, 179, 527, 782, 1430, 46%
l10n/po/pt_BR/_data/versioned/latest/index/relations.yaml.po, 168, 517, 755, 1411, 47%
l10n/po/pt_BR/_includes/performance.html.po, 35, 35, 749, 749, 0%
l10n/po/pt_BR/_data/versioned/3-33/index/relations.yaml.po, 166, 515, 748, 1404, 47%
l10n/po/pt_BR/_data/versioned/3-27/index/relations.yaml.po, 158, 509, 723, 1381, 48%
l10n/po/pt_BR/_data/versioned/3-20/index/relations.yaml.po, 151, 499, 704, 1358, 49%
l10n/po/pt_BR/_data/versioned/3-15/index/relations.yaml.po, 141, 481, 637, 1283, 51%
l10n/po/pt_BR/_includes/catalog-detail-band.html.po, 83, 88, 608, 614, 1%
l10n/po/pt_BR/_includes/ai-chainofthought.html.po, 29, 29, 573, 573, 0%
l10n/po/pt_BR/_data/versioned/3-8/index/relations.yaml.po, 123, 446, 567, 1196, 53%
l10n/po/pt_BR/_includes/ai-contextualrag.html.po, 30, 30, 540, 540, 0%
l10n/po/pt_BR/_data/versioned/3-6/index/relations.yaml.po, 118, 444, 532, 1183, 56%
l10n/po/pt_BR/_data/newsletter.yaml.po, 205, 205, 526, 526, 0%
l10n/po/pt_BR/_includes/benefactors.html.po, 29, 29, 508, 508, 0%
l10n/po/pt_BR/_includes/ai-frozenrag.html.po, 25, 25, 501, 501, 0%
l10n/po/pt_BR/_includes/working-group-band.html.po, 34, 34, 481, 481, 0%
l10n/po/pt_BR/_includes/ai-java-for-ai.html.po, 38, 38, 459, 459, 0%
l10n/po/pt_BR/_includes/continuum.html.po, 12, 42, 412, 1346, 70%
l10n/po/pt_BR/_includes/ai-overview.html.po, 24, 24, 358, 358, 0%
l10n/po/pt_BR/_data/qtips-videos.yaml.po, 102, 111, 357, 377, 6%
l10n/po/pt_BR/_includes/community-contrib-band.html.po, 24, 27, 340, 388, 13%
l10n/po/pt_BR/_includes/ai-quarkus-for-ai.html.po, 26, 26, 339, 339, 0%
l10n/po/pt_BR/_includes/ai-blueprints.html.po, 14, 14, 334, 334, 0%
l10n/po/pt_BR/_data/training.yaml.po, 58, 59, 326, 328, 1%
l10n/po/pt_BR/_includes/kubernetes-native.html.po, 16, 24, 314, 422, 26%
l10n/po/pt_BR/_includes/spring-features-band.html.po, 17, 17, 308, 308, 0%
l10n/po/pt_BR/_data/sitemap-links.yaml.po, 149, 149, 257, 257, 0%
l10n/po/pt_BR/_includes/get-started-code-steps.html.po, 25, 25, 249, 249, 0%
l10n/po/pt_BR/_includes/spring-userstory-callout.html.po, 12, 12, 246, 246, 0%
l10n/po/pt_BR/_includes/catalog-index-band.html.po, 51, 52, 216, 217, 1%
l10n/po/pt_BR/_data/guides-2-7.yaml.po, 46, 666, 213, 4156, 95%
l10n/po/pt_BR/_includes/spring-migrate-books.html.po, 16, 16, 209, 209, 0%
l10n/po/pt_BR/_data/projectfooter.yaml.po, 102, 105, 191, 194, 2%
l10n/po/pt_BR/_includes/header-navigation.html.po, 27, 48, 186, 404, 54%
l10n/po/pt_BR/_includes/support-help-band.html.po, 7, 11, 161, 172, 7%
l10n/po/pt_BR/_includes/spring-migrate-main.html.po, 24, 24, 144, 144, 0%
l10n/po/pt_BR/_includes/standards.html.po, 33, 36, 144, 288, 50%
l10n/po/pt_BR/_data/versioned/3-8/index/quarkiverse.yaml.po, 22, 102, 135, 597, 78%
l10n/po/pt_BR/_data/versioned/latest/index/quarkiverse.yaml.po, 22, 102, 135, 597, 78%
l10n/po/pt_BR/_data/versioned/main/index/quarkiverse.yaml.po, 22, 102, 135, 597, 78%
